decile,n_customers,n_treated,n_control,conversion_treated,conversion_control,actual_uplift,avg_predicted_uplift
1,5001,2546,2455,0.5613,0.4701,0.0912,0.1545
2,5001,2534,2467,0.5781,0.527,0.0512,0.0855
3,5001,2497,2504,0.5895,0.5755,0.014,0.0605
4,5001,2478,2523,0.6445,0.6104,0.0341,0.0434
5,5001,2502,2499,0.6763,0.6455,0.0308,0.0298
6,5001,2544,2457,0.7024,0.6817,0.0207,0.0181
7,5001,2472,2529,0.7176,0.7046,0.013,0.0068
8,5001,2470,2531,0.7101,0.695,0.0151,-0.0051
9,5001,2508,2493,0.6212,0.6021,0.0191,-0.0221
10,5001,2444,2557,0.5655,0.5186,0.0469,-0.067
